,date,price,upanddown,check
127,2004-12-25,3.29,+ 0.30,
128,2004-12-26,3.29,+ 0.30,
129,2004-12-27,3.29,0.00,
130,2004-12-28,3.27,-0.61,
131,2004-12-29,3.26,-0.31,
132,2004-12-30,3.28,+ 0.61,
133,2004-12-31,3.29,+ 0.30,
134,2005-01-01,3.29,+ 0.30,
135,2005-01-02,3.29,+ 0.30,
136,2005-01-03,3.27,-0.61,
137,2005-01-04,3.27,0.00,
138,2005-01-05,3.28,+ 0.31,
139,2005-01-06,3.21,-2.13,
140,2005-01-07,3.22,+ 0.31,
141,2005-01-08,3.22,+ 0.31,
142,2005-01-09,3.22,+ 0.31,
143,2005-01-10,3.27,+ 1.55,
144,2005-01-11,3.28,+ 0.31,
145,2005-01-12,3.27,-0.30,
146,2005-01-13,3.28,+ 0.31,
147,2005-01-14,3.26,-0.61,
148,2005-01-15,3.26,-0.61,
149,2005-01-16,3.26,-0.61,
150,2005-01-17,3.25,-0.31,
151,2005-01-18,3.25,0.00,
152,2005-01-19,3.25,0.00,
153,2005-01-20,3.23,-0.62,
154,2005-01-21,3.19,-1.24,
155,2005-01-22,3.19,-1.24,
156,2005-01-23,3.19,-1.24,
157,2005-01-24,3.25,+ 1.88,
158,2005-01-25,3.25,0.00,
159,2005-01-26,3.26,+ 0.31,
160,2005-01-27,3.24,-0.61,
161,2005-01-28,3.25,+ 0.31,
162,2005-01-29,3.25,+ 0.31,
163,2005-01-30,3.25,+ 0.31,
164,2005-01-31,3.26,+ 0.31,
165,2005-02-01,3.26,0.00,
166,2005-02-02,3.25,-0.31,
167,2005-02-03,3.26,+ 0.31,
168,2005-02-04,3.22,-1.23,
169,2005-02-05,3.22,-1.23,
170,2005-02-06,3.22,-1.23,
171,2005-02-07,3.18,-1.24,
172,2005-02-08,3.18,-1.24,
173,2005-02-09,3.18,-1.24,
174,2005-02-10,3.18,-1.24,
175,2005-02-11,3.27,+ 2.83,
176,2005-02-12,3.27,+ 2.83,
177,2005-02-13,3.27,+ 2.83,
178,2005-02-14,3.26,-0.31,
179,2005-02-15,3.26,0.00,
180,2005-02-16,3.26,0.00,
181,2005-02-17,3.27,+ 0.31,
182,2005-02-18,3.26,-0.31,
183,2005-02-19,3.26,-0.31,
184,2005-02-20,3.26,-0.31,
185,2005-02-21,3.26,0.00,
186,2005-02-22,3.22,-1.23,
187,2005-02-23,3.28,+ 1.86,
188,2005-02-24,3.27,-0.30,
189,2005-02-25,3.28,+ 0.31,
190,2005-02-26,3.28,+ 0.31,
191,2005-02-27,3.28,+ 0.31,
192,2005-02-28,3.28,0.00,
193,2005-03-01,3.28,0.00,
194,2005-03-02,3.28,0.00,
195,2005-03-03,3.27,-0.30,
196,2005-03-04,3.25,-0.61,
197,2005-03-05,3.25,-0.61,
198,2005-03-06,3.25,-0.61,
199,2005-03-07,3.17,-2.46,
200,2005-03-08,3.27,+ 3.15,
201,2005-03-09,3.27,0.00,
202,2005-03-10,3.26,-0.31,
203,2005-03-11,3.25,-0.31,
204,2005-03-12,3.25,-0.31,
205,2005-03-13,3.25,-0.31,
206,2005-03-14,3.24,-0.31,
207,2005-03-15,3.24,0.00,
208,2005-03-16,3.23,-0.31,
209,2005-03-17,3.23,0.00,
210,2005-03-18,3.23,0.00,
211,2005-03-19,3.23,0.00,
212,2005-03-20,3.23,0.00,
213,2005-03-21,3.16,-2.17,
214,2005-03-22,3.17,+ 0.32,
215,2005-03-23,3.23,+ 1.89,
216,2005-03-24,3.23,0.00,
