,date,price
1060,2016-04-01,1.50
1061,2016-03-31,1.53
1062,2016-03-30,1.51
1063,2016-03-29,1.49
1064,2016-03-28,1.49
1065,2016-03-25,1.49
1066,2016-03-24,1.49
1067,2016-03-23,1.49
1068,2016-03-22,1.49
1069,2016-03-21,1.49
1070,2016-03-18,1.49
1071,2016-03-17,1.48
1072,2016-03-16,1.48
1073,2016-03-15,1.48
1074,2016-03-14,1.48
1075,2016-03-11,1.48
1076,2016-03-10,1.50
1077,2016-03-09,1.48
1078,2016-03-08,1.49
1079,2016-03-07,1.49
1080,2016-03-04,1.49
1081,2016-03-03,1.49
1082,2016-03-02,1.50
1083,2016-02-29,1.52
1084,2016-02-26,1.50
1085,2016-02-25,1.49
1086,2016-02-24,1.49
1087,2016-02-23,1.49
1088,2016-02-22,1.48
1089,2016-02-19,1.47
1090,2016-02-18,1.48
1091,2016-02-17,1.48
1092,2016-02-16,1.47
1093,2016-02-15,1.48
1094,2016-02-12,1.48
1095,2016-02-11,1.49
1096,2016-02-05,1.47
1097,2016-02-04,1.51
1098,2016-02-03,1.49
1099,2016-02-02,1.49
1100,2016-02-01,1.49
1101,2016-01-29,1.50
1102,2016-01-28,1.48
1103,2016-01-27,1.48
1104,2016-01-26,1.48
1105,2016-01-25,1.48
1106,2016-01-22,1.48
1107,2016-01-21,1.49
1108,2016-01-20,1.49
1109,2016-01-19,1.48
1110,2016-01-18,1.50
1111,2016-01-15,1.50
1112,2016-01-14,1.49
1113,2016-01-13,1.50
1114,2016-01-12,1.50
1115,2016-01-11,1.49
1116,2016-01-08,1.49
1117,2016-01-07,1.49
1118,2016-01-06,1.49
1119,2016-01-05,1.49
1120,2016-01-04,1.48
1121,2015-12-31,1.52
1122,2015-12-30,1.49
1123,2015-12-29,1.49
1124,2015-12-28,1.49
1125,2015-12-24,1.49
1126,2015-12-23,1.49
1127,2015-12-22,1.48
1128,2015-12-21,1.48
1129,2015-12-18,1.48
1130,2015-12-17,1.46
1131,2015-12-16,1.46
1132,2015-12-15,1.46
1133,2015-12-14,1.48
1134,2015-12-11,1.48
1135,2015-12-10,1.48
1136,2015-12-09,1.46
1137,2015-12-08,1.46
1138,2015-12-07,1.44
1139,2015-12-04,1.40
1140,2015-12-03,1.45
1141,2015-12-02,1.44
1142,2015-12-01,1.48
1143,2015-11-30,1.50
1144,2015-11-27,1.49
1145,2015-11-26,1.49
1146,2015-11-25,1.50
1147,2015-11-24,1.49
1148,2015-11-23,1.49
1149,2015-11-20,1.49
1150,2015-11-19,1.49
1151,2015-11-18,1.49
1152,2015-11-17,1.49
1153,2015-11-16,1.49
1154,2015-11-13,1.49
